,ROC-AUC,F1-score,Accuracy,Precision,Recall
Logistic Regression,0.8879722620755619,0.8229665071770335,0.7989130434782609,0.8037383177570093,0.8431372549019608
Decision Tree,0.803861788617886,0.7818181818181819,0.7391304347826086,0.7288135593220338,0.8431372549019608
Random Forest,0.9036346245815399,0.8309178743961353,0.8097826086956522,0.819047619047619,0.8431372549019608
XGBoost,0.9010043041606886,0.8530805687203792,0.8315217391304348,0.8256880733944955,0.8823529411764706
CatBoost,0.9080583452893353,0.8598130841121495,0.8369565217391305,0.8214285714285714,0.9019607843137255
Stacking Ensemble,0.9020803443328551,0.8380952380952381,0.8152173913043478,0.8148148148148148,0.8627450980392157
